Jornada,Dia,Data,Horário,home,xG_home,xG_away,away,Assistance,Local,Árbitro,Relatório da Partida,goals_home,goals_away,formacao_home,formacao_away,Faltas_home,Faltas_away,Escanteios_home,Escanteios_away,Cruzamentos_home,Cruzamentos_away,Contatos_home,Contatos_away,Bote defensivo_home,Bote defensivo_away,Cortes_home,Cortes_away,Defesas_home,Defesas_away,Impedimentos_home,Impedimentos_away,Tiro de meta_home,Tiro de meta_away,Bolas longas_home,Bolas longas_away,yellow_card_home,red_card_home,yellow_red_card_home,yellow_card_away,red_card_away,yellow_red_card_away,jogador1_home,jogador2_home,jogador3_home,jogador4_home,jogador5_home,jogador6_home,jogador7_home,jogador8_home,jogador9_home,jogador10_home,jogador11_home,jogador12_home,jogador13_home,jogador14_home,jogador15_home,jogador16_home,jogador17_home,jogador18_home,jogador19_home,jogador1_away,jogador2_away,jogador3_away,jogador4_away,jogador5_away,jogador6_away,jogador7_away,jogador8_away,jogador9_away,jogador10_away,jogador11_away,jogador12_away,jogador13_away,jogador14_away,jogador15_away,jogador16_away,jogador17_away,jogador18_away,jogador19_away,jogador20_home,HS,AS,HST,AST,B365H,B365D,B365A,HTHG,HTAG
1.0,sex,2020-09-18,19:00,Famalicao,0.6,3.0,Benfica,0,Estádio Municipal 22 de Junho,Luís Godinho,/pt/partidas/0bb33fbd/Famalicao-Benfica-2020Setembro18-Primeira-Liga,1,5,4-4-2,4-4-2,15.0,10.0,3.0,4.0,7.0,20.0,460.0,677.0,23.0,16.0,19.0,12.0,22.0,8.0,1.0,2.0,9.0,3.0,67.0,62.0,1.0,0.0,0.0,2.0,0.0,0.0,Ivan Zlobin,Srđan Babić,Calvin Verdonk,Gonçalo Rodrigues,Rúben Lameiras,Gustavo Assuncao,Riccieli,Toni Martínez,Carlos Valenzuela,Jorge Pereira,Bruno Jordão,Luiz Lúcio Reis Júnior,Henrique Trevisan,Walterson,Lawrence Ofori,Ruben Del Campo,João Neto,Abdulwahab Ibrahim,Matheus dos Santos Clemente,Odisseas Vlachodimos,Álex Grimaldo,Jan Vertonghen,Rúben Dias,Everton Soares,Gabriel,Darwin Núñez,Luca Waldschmidt,Rafa Silva,André Almeida,Adel Taarabt,Helton Leite,Haris Seferović,Diogo Gonçalves,Pizzi,Julian Weigl,Pedrinho,Nuno Tavares,Carlos Vinícius,,6,13,2,7,7.5,5.0,1.36,0,3
1.0,sex,2020-09-18,21:15,Guimaraes,0.4,0.5,Belenenses,0,Estádio Dom Afonso Henriques,Manuel Oliveira,/pt/partidas/c727a3bb/Vitoria-Guimaraes-Belenenses-SAD-2020Setembro18-Primeira-Liga,0,1,4-3-3,3-4-3,14.0,21.0,7.0,2.0,26.0,22.0,689.0,482.0,10.0,18.0,11.0,13.0,20.0,29.0,3.0,0.0,5.0,9.0,80.0,67.0,1.0,0.0,0.0,4.0,0.0,0.0,Bruno Varela,Abdul Mumin,Marcus Edwards,André André,Rochinha,Falaye Sacko,José Luis García Vayá,Lyle Foster,Jonas Carls,Jorge Filipe Oliveira Fernandes,Nicolas Janvier,Matouš Trmal,Easah Suliman,Denis-Will Poha,Ricardo Quaresma,Kim Jungmin,Sílvio,Domingos André Ribeiro Almeida,Elias Abouchabaka,André Moreira,Tomás Ribeiro,Rúben Lima,Cauê Cecilio da Silva,Mateo Cassierra,Silvestre Varela,Miguel Filipe Nunes Cardoso,Tiago Esgaio,Afonso Taira,Thibang Phete,Henrique,Guilherme Mata Oliveira,Diogo Calila,Bruno Ramires,Edi Semedo,Danny Henriques,Samir Banjai,Robinho Vieira,Francisco Chico,,11,4,2,3,1.45,4.33,7.0,0,0
1.0,sáb,2020-09-19,16:00,Nacional,1.3,0.3,Boavista,0,Estádio da Madeira,António Nobre,/pt/partidas/30d49dac/Nacional-Boavista-2020Setembro19-Primeira-Liga,3,3,4-2-3-1,4-2-3-1,23.0,22.0,6.0,4.0,23.0,16.0,536.0,408.0,14.0,11.0,8.0,9.0,14.0,13.0,1.0,1.0,,,62.0,43.0,4.0,0.0,0.0,3.0,0.0,0.0,Daniel Guimarães,Lucas Kal,Pedrão,João Pedro Gomes Camacho,Vincent Koziello,Rúben Micael,Kalindi Alves de Souza,Witi,Nuno Borges,João Victor,Brayan Riascos,Riccardo Piscitelli,Larry Azouni,Abdullahi Ibrahim Alhassan,Gergely Bobál,Rúben Freitas,Bryan Róchez,Julio,Vincent Thill,Leonardo César Jardim,Reggie Cannon,Alejandro Gómez,Chidozie Awaziem,Javi García,Nuno Santos,Gustavo Sauer,Angel Gomes,Yusupha Njie,Ricardo Mangas,Paulinho,Rafael Bracalli,Jorge Bengoché,Miguel Reisinho,Nathan,Show,Yanis Hamache,Kalani Almeida,Cristian Castro,,14,8,7,3,2.55,3.1,2.87,2,2
1.0,sáb,2020-09-19,21:00,Porto,2.7,0.6,Sp Braga,0,Estádio Do Dragão,João Pinheiro,/pt/partidas/9af2118f/Porto-Braga-2020Setembro19-Primeira-Liga,3,1,4-3-3,3-4-3,18.0,18.0,5.0,1.0,15.0,14.0,579.0,535.0,9.0,15.0,7.0,10.0,11.0,17.0,4.0,3.0,10.0,10.0,92.0,82.0,1.0,0.0,0.0,4.0,1.0,0.0,Agustín Marchesín,Pepe,Mateus Uribe,Moussa Marega,Alex Telles,Jesús Corona,Wilson Manafá,Chancel Mbemba,Danilo Pereira,Otávio,Sérgio Oliveira,Diogo Costa,Diogo Leite,Mamadou Loum,Mehdi Taremi,Zaidu Sanusi,João Mário Lopes,Tiquinho Soares,Evanilson,Matheus,Nuno Sequeira,Almoatasem Al Musrati,Abel Ruiz,David Carmo,Ricardo Horta,Fransérgio,Raul Silva,Bruno Viana,Ricardo Esgaio,André Castro,Tiago Sá,Vítor Tormena,Rolando,João Novais,André Horta,Iuri Medeiros,Moura,Galeno,,11,7,4,1,1.61,4.0,5.0,2,1
1.0,dom,2020-09-20,15:00,Santa Clara,2.2,1.5,Maritimo,0,Cidade do Futebol,Manuel Mota,/pt/partidas/1c30b502/Santa-Clara-Maritimo-2020Setembro20-Primeira-Liga,2,0,4-2-3-1,3-4-3,16.0,17.0,5.0,6.0,14.0,36.0,523.0,512.0,8.0,12.0,9.0,18.0,43.0,18.0,1.0,3.0,9.0,11.0,79.0,83.0,2.0,0.0,0.0,1.0,0.0,0.0,Marco André Rocha Pereira,Rafael Ramos,Mikel Villanueva,João Afonso,Mansur,Osama Rashid,Carlos,Thiago Santana,Costinha,Anderson Carvalho,Diogo Salomão,André Ferreira,João Paulo Lázaro Lucas,Ukra,Rui Filipe Cunha Correia,Crysan,Jean Patric,Lucas Marques,,Amir Abedzadeh,Zainadine Júnior,Jorge Correa,Edgar Costa,Dejan Kerkez,Jean Cléber,Rene Santos,Eulânio Ângelo Chipela Gomes,Fábio China,Pedro Pelágio,Diederrick Joel,Charles,Cláudio Winck,Moises Castillo,Rafik Guitane,Rodrigo Pinho,Francois-Xavier Fumu Tamuzo,Diego Moreno,Milson,,12,12,5,2,2.1,3.2,3.6,0,0
1.0,dom,2020-09-20,18:30,Moreirense,2.2,0.6,Farense,0,P.D. Comendador Joaquim de Almeida Freit...,João Bento,/pt/partidas/79d3f51f/Moreirense-Farense-2020Setembro20-Primeira-Liga,2,0,4-3-3,4-4-2,17.0,12.0,4.0,6.0,12.0,33.0,536.0,511.0,15.0,17.0,13.0,12.0,30.0,13.0,1.0,3.0,13.0,8.0,93.0,83.0,2.0,0.0,0.0,4.0,1.0,0.0,Mateus Pasinato,Anthony D'Alberto,Lazar Rosić,Fábio Pacheco,Fábio Abreu,Lucas,Steven Vitória,Filipe Soares,Alexandre Miguel Barros Soares,Pedro Nuno,Pedro Amador,Miguel Oliveira,Ibrahima Camará,Felipe Pires,Matheus Silva,Reynaldo Cesar Moraes,,,,Rafael Defendi,Amine Oudrhiri,Nikola Stojiljković,Braian Mansilla,Burá,Fabrício Isidoro,Ryan Gauld,Cássio,Jonatan Lucca,Alexandre Pinto,Fábio Alexandre da Silva Nunes,Hugo Marques,Ricardo Velho,César,Filipe Melo,Miguel Bandarra,Patrick,Claudio Falcão,Álvarinho,,13,10,5,2,2.2,3.3,3.3,1,0
1.0,dom,2020-09-20,21:00,Tondela,0.6,1.0,Rio Ave,0,Estádio João Cardoso,Rui Costa,/pt/partidas/376bca59/Tondela-Rio-Ave-2020Setembro20-Primeira-Liga,1,1,4-3-3,4-2-3-1,15.0,11.0,1.0,6.0,14.0,20.0,487.0,773.0,14.0,16.0,11.0,11.0,28.0,18.0,0.0,2.0,6.0,5.0,75.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,Babacar Niasse,Bebeto,João Jaquité,Pedro Borges,Salvador Agra,João Pedro,Tomislav Štrkalj,Jaume Grau,Filipe Ferreira,Yohan Tavares,Ricardo Miguel Martins Alves,Pedro Trigueira,Jota Gonçalves,Rúben Fonseca,João Mendes,Tiago Melo Almeida,Rafael Barbosa,,,Paweł Kieszek,Nélson Monte,Toni Borevkovic,Gelson,Ricardo José Vaz Alves Monteiro,Diego Lopes,Lucas Piazon,Carlos Mané,Nikola Jambor,Pedro Amaral,Aderlan Santos,Léo,Filipe Augusto,Bruno Moreira,Francisco Geraldes,Costinha,Rúben Gonçalves,Nando Pijnaker,Ryotaro Meshino,,7,14,2,4,3.75,3.3,2.0,1,0
1.0,seg,2020-09-21,19:45,Portimonense,0.9,2.0,Pacos Ferreira,0,Estádio do Portimonense SC,Iancu Vasilica,/pt/partidas/438a80ef/Portimonense-Pacos-de-Ferreira-2020Setembro21-Primeira-Liga,1,1,4-3-3,4-4-2,23.0,16.0,4.0,9.0,11.0,21.0,536.0,454.0,26.0,20.0,8.0,8.0,27.0,10.0,1.0,1.0,9.0,7.0,104.0,87.0,1.0,0.0,0.0,1.0,0.0,0.0,Samuel Portugal,Maurício Antônio,Lucas Possignolo,Dener,Lucas Fernandes,Fabrício dos Santos Messias,Anderson,Pedro Sá,Willyan,Fali Candé,Welinton Júnior,Ricardo Abel Barbosa Ferreira,Beto,Júlio César,Henrique,Luquinha,Lucas Tagliapietra,Pedro Oliveira Casagrande,Aylton Boa Morte,Jordi Almeida,Marco Baixinho,Oleg Reabciuk,Hélder Ferreira,Zé Uilton,Luther Singh,Luíz Carlos,Marcelo dos Santos Ferreira,Stephen Eustáquio,João Amaral,Douglas Tanque,Michael,Martín,Abbas Ibrahim,Adriano Castanheira,Lucas Silva,Lamine Diaby,Maracás,Fernando Ferreira Fonseca,,12,16,3,5,2.15,3.2,3.5,0,1
2.0,sex,2020-09-25,20:30,Sp Braga,2.0,0.7,Santa Clara,0,Estádio Municipal de Braga,Rui Costa,/pt/partidas/4cbf5de6/Braga-Santa-Clara-2020Setembro25-Primeira-Liga,0,1,4-4-2,4-3-3,13.0,17.0,8.0,0.0,39.0,5.0,818.0,457.0,18.0,13.0,12.0,20.0,7.0,35.0,5.0,2.0,4.0,16.0,120.0,85.0,2.0,0.0,0.0,4.0,0.0,0.0,Matheus,Nuno Sequeira,Almoatasem Al Musrati,André Horta,David Carmo,Paulinho,Ricardo Horta,Fransérgio,Bruno Viana,Ricardo Esgaio,Moura,Tiago Sá,Vítor Tormena,Rolando,João Novais,Abel Ruiz,Iuri Medeiros,André Castro,Galeno,Marco André Rocha Pereira,Rafael Ramos,Mikel Villanueva,João Afonso,Mansur,Osama Rashid,Carlos,Thiago Santana,Jean Patric,Anderson Carvalho,Diogo Salomão,André Ferreira,Gustavo Viera,João Paulo Lázaro Lucas,Ukra,Julio Romão,Costinha,Rui Filipe Cunha Correia,Crysan,,22,6,4,1,1.4,4.5,8.0,0,1
2.0,sáb,2020-09-26,15:30,Maritimo,1.1,1.7,Tondela,0,Estádio dos Barreiros,André Narciso,/pt/partidas/27af54ba/Maritimo-Tondela-2020Setembro26-Primeira-Liga,2,1,4-4-2,4-4-2,20.0,16.0,0.0,8.0,8.0,28.0,340.0,659.0,20.0,18.0,21.0,8.0,39.0,7.0,3.0,1.0,7.0,4.0,62.0,60.0,4.0,1.0,0.0,2.0,0.0,0.0,Amir Abedzadeh,Cláudio Winck,Zainadine Júnior,Jean,Rodrigo Pinho,Getterson,Edgar Costa,Jean Cléber,Rene Santos,Eulânio Ângelo Chipela Gomes,Fábio China,Charles,Rafik Guitane,Jorge Correa,Diego Moreno,Dejan Kerkez,Milson,Pedro Pelágio,Marcelo Hermes,Babacar Niasse,Bebeto,Pedro Borges,Salvador Agra,João Pedro,Tomislav Štrkalj,Jaume Grau,Filipe Ferreira,Yohan Tavares,Ricardo Miguel Martins Alves,Rafael Barbosa,Pedro Trigueira,Jota Gonçalves,João Jaquité,Rúben Fonseca,Jhon Murillo,João Mendes,Tiago Melo Almeida,Naoufel Khacef,,8,21,6,6,2.2,3.0,3.6,2,1
2.0,sáb,2020-09-26,18:30,Benfica,4.0,0.2,Moreirense,0,Estádio do Sport Lisboa e Benfica,Nuno Almeida,/pt/partidas/6c58c6e3/Benfica-Moreirense-2020Setembro26-Primeira-Liga,2,0,4-4-2,4-1-4-1,11.0,14.0,10.0,1.0,19.0,6.0,796.0,402.0,13.0,27.0,10.0,15.0,1.0,25.0,2.0,1.0,5.0,24.0,58.0,74.0,2.0,0.0,0.0,0.0,0.0,0.0,Odisseas Vlachodimos,Álex Grimaldo,Jan Vertonghen,Rúben Dias,Everton Soares,Gabriel,Darwin Núñez,Luca Waldschmidt,Pizzi,Rafa Silva,André Almeida,Helton Leite,Gilberto,Haris Seferović,Chiquinho,Julian Weigl,Pedrinho,Nuno Tavares,Carlos Vinícius,Mateus Pasinato,Anthony D'Alberto,Lazar Rosić,Fábio Pacheco,Fábio Abreu,Lucas,Steven Vitória,Filipe Soares,Alexandre Miguel Barros Soares,Pedro Nuno,Pedro Amador,Miguel Oliveira,Ibrahima Camará,Felipe Pires,Matheus Silva,Reynaldo Cesar Moraes,,,,,29,5,10,1,1.14,7.5,17.0,1,0
2.0,sáb,2020-09-26,21:00,Boavista,1.2,2.3,Porto,0,Estádio do Bessa Século XXI,Luís Godinho,/pt/partidas/b5fab935/Boavista-Porto-2020Setembro26-Primeira-Liga,0,5,4-2-3-1,4-3-3,19.0,19.0,3.0,2.0,11.0,14.0,437.0,616.0,12.0,17.0,18.0,13.0,14.0,12.0,3.0,1.0,,,38.0,77.0,1.0,0.0,0.0,0.0,0.0,0.0,Leonardo César Jardim,Reggie Cannon,Adil Rami,Alejandro Gómez,Javi García,Nuno Santos,Gustavo Sauer,Jorge Bengoché,Angel Gomes,Ricardo Mangas,Paulinho,Rafael Bracalli,Miguel Reisinho,Alberth Elis,Nathan,Show,Sebastián Pérez Cardona,Yanis Hamache,Cristian Castro,Agustín Marchesín,Pepe,Mateus Uribe,Moussa Marega,Alex Telles,Jesús Corona,Wilson Manafá,Chancel Mbemba,Danilo Pereira,Otávio,Sérgio Oliveira,Diogo Costa,Diogo Leite,Luis Díaz,Mehdi Taremi,Zaidu Sanusi,Zé Luís,Romário Baró,Fabio Vieira,,11,15,4,6,7.5,4.33,1.4,0,0
2.0,dom,2020-09-27,15:30,Farense,1.2,1.0,Nacional,0,Estádio de São Lúis,Gustavo Correia,/pt/partidas/70ef9fb1/Farense-Nacional-2020Setembro27-Primeira-Liga,0,1,4-2-3-1,4-2-3-1,12.0,15.0,11.0,5.0,43.0,9.0,497.0,496.0,14.0,16.0,10.0,11.0,10.0,35.0,0.0,1.0,4.0,16.0,111.0,75.0,1.0,0.0,0.0,4.0,0.0,0.0,Hugo Marques,César,Nikola Stojiljković,Braian Mansilla,Fabrício Isidoro,Ryan Gauld,Claudio Falcão,Cássio,Jonatan Lucca,Alexandre Pinto,Fábio Alexandre da Silva Nunes,Ricardo Velho,Amine Oudrhiri,Filipe Melo,Burá,Miguel Bandarra,Patrick,Álvarinho,,Daniel Guimarães,Lucas Kal,Pedrão,João Pedro Gomes Camacho,Vincent Koziello,Rúben Micael,Witi,Rúben Freitas,Vincent Thill,Nuno Borges,Brayan Riascos,Riccardo Piscitelli,Larry Azouni,Abdullahi Ibrahim Alhassan,Kenji Gorré,Kalindi Alves de Souza,Bryan Róchez,,,,18,9,4,4,2.05,3.3,3.6,0,0
2.0,dom,2020-09-27,16:00,Gil Vicente,1.1,1.4,Portimonense,0,Estádio Cidade de Barcelos,António Nobre,/pt/partidas/210eb76f/Gil-Vicente-FC-Portimonense-2020Setembro27-Primeira-Liga,1,0,5-4-1,4-2-3-1,14.0,12.0,10.0,7.0,26.0,20.0,486.0,591.0,12.0,25.0,6.0,9.0,31.0,27.0,0.0,1.0,10.0,8.0,83.0,103.0,2.0,0.0,0.0,3.0,0.0,0.0,Denis,Joel Pereira,João Afonso Crispim,Claude Gonçalves,Miullen,Antoine Léautey,Lucas Mineiro,Rúben Fernandes,Samuel,Talocha,Ygor Nogueira,Daniel Fuzato,Souleymane Aw,Rodrigão,Lourency,Boubacar Hanne,Vitor Carvalho,Leandrinho,Tim Hall,Samuel Portugal,Maurício Antônio,Lucas Possignolo,Dener,Lucas Fernandes,Fabrício dos Santos Messias,Júlio César,Pedro Sá,Willyan,Fali Candé,Welinton Júnior,Ricardo Abel Barbosa Ferreira,Anderson,Beto,Henrique,Luquinha,Koki Anzai,Lucas Tagliapietra,Aylton Boa Morte,,9,13,3,2,2.7,3.0,2.75,0,0
2.0,dom,2020-09-27,18:30,Pacos Ferreira,0.9,2.2,Sp Lisbon,0,Estádio da Capital do Móvel,Fábio Veríssimo,/pt/partidas/a59c829a/Pacos-de-Ferreira-Sporting-CP-2020Setembro27-Primeira-Liga,0,2,4-2-3-1,3-4-3,18.0,12.0,4.0,8.0,20.0,24.0,576.0,594.0,20.0,18.0,14.0,13.0,16.0,15.0,1.0,1.0,5.0,11.0,65.0,86.0,2.0,0.0,0.0,6.0,0.0,0.0,Jordi Almeida,Marco Baixinho,Oleg Reabciuk,Hélder Ferreira,Zé Uilton,Bruno Xavier Almeida Costa,Luther Singh,Luíz Carlos,Marcelo dos Santos Ferreira,Stephen Eustáquio,Douglas Tanque,Michael,Martín,Adriano Castanheira,Pedro Martelo,Lucas Silva,Maracás,Fernando Ferreira Fonseca,Pedro Pinho Marques,Antonio Adán,Zouhair Feddal,Sebastián Coates,Nuno Mendes,Matheus Nunes,Luciano Vietto,Luís Neto,Tiago Tomás,Pedro Porro,Wendel,Jovane Cabral,André Paulo,Andraž Šporar,Nuno Santos,Gonzalo Plata,Vitorino Antunes,Daniel Bragança,Eduardo Quaresma,Bruno Paz,,9,11,0,5,3.6,3.2,2.1,0,1
2.0,dom,2020-09-27,21:00,Rio Ave,0.2,0.7,Guimaraes,0,Estádio do Rio Ave Futebol Clube,Tiago Martins,/pt/partidas/ad45b930/Rio-Ave-Vitoria-Guimaraes-2020Setembro27-Primeira-Liga,0,0,4-2-3-1,4-3-3,12.0,17.0,4.0,4.0,17.0,18.0,602.0,664.0,18.0,6.0,14.0,21.0,15.0,16.0,1.0,3.0,8.0,6.0,75.0,62.0,2.0,0.0,0.0,3.0,0.0,0.0,Paweł Kieszek,Nélson Monte,Ricardo José Vaz Alves Monteiro,Diego Lopes,Carlos Mané,Nikola Jambor,Pedro Amaral,Ivo Pinto,Aderlan Santos,Ryotaro Meshino,André Pereira,Léo,Filipe Augusto,Toni Borevkovic,Bruno Moreira,Francisco Geraldes,Lucas Piazon,Costinha,Rúben Gonçalves,Bruno Varela,Easah Suliman,Marcus Edwards,Denis-Will Poha,Ricardo Quaresma,André André,Falaye Sacko,Mikel Agu,Sílvio,Jorge Filipe Oliveira Fernandes,Nicolas Janvier,Matouš Trmal,Abdul Mumin,Bruno Duarte,Rochinha,José Luis García Vayá,Lyle Foster,Jacob Maddox,Jonas Carls,,7,10,3,3,2.87,3.1,2.55,0,0
2.0,seg,2020-09-28,19:45,Belenenses,0.5,0.7,Famalicao,0,Estádio Nacional,Hélder Malheiro,/pt/partidas/e78fd045/Belenenses-SAD-Famalicao-2020Setembro28-Primeira-Liga,1,2,3-4-3,4-4-2,17.0,24.0,5.0,2.0,22.0,11.0,533.0,537.0,21.0,14.0,11.0,23.0,8.0,30.0,6.0,1.0,6.0,9.0,116.0,79.0,3.0,0.0,0.0,5.0,0.0,0.0,André Moreira,Tomás Ribeiro,Rúben Lima,Bruno Ramires,Mateo Cassierra,Silvestre Varela,Miguel Filipe Nunes Cardoso,Tiago Esgaio,Afonso Taira,Thibang Phete,Henrique,Guilherme Mata Oliveira,Diogo Calila,Edi Semedo,Cauê Cecilio da Silva,Danny Henriques,Samir Banjai,Robinho Vieira,Francisco Chico,Ivan Zlobin,Srđan Babić,Calvin Verdonk,Gonçalo Rodrigues,Ruben Del Campo,Rúben Lameiras,Gustavo Assuncao,Riccieli,Carlos Valenzuela,Bruno Jordão,Patrick,Luiz Lúcio Reis Júnior,Henrique Trevisan,Walterson,Lawrence Ofori,Jhonata Robert,Leonardo Campana,Joaquín Pereyra,Andrija Luković,,10,6,5,2,2.4,3.2,3.0,1,0
3.0,sex,2020-10-02,19:00,Moreirense,1.8,1.1,Boavista,0,P.D. Comendador Joaquim de Almeida Freit...,Manuel Mota,/pt/partidas/3a1d2b02/Moreirense-Boavista-2020Outubro2-Primeira-Liga,1,1,4-1-4-1,4-2-3-1,10.0,19.0,5.0,3.0,18.0,7.0,541.0,465.0,22.0,19.0,7.0,18.0,5.0,23.0,2.0,2.0,,,113.0,44.0,1.0,0.0,0.0,1.0,0.0,0.0,Mateus Pasinato,Anthony D'Alberto,Lazar Rosić,Fábio Pacheco,Fábio Abreu,Felipe Pires,Steven Vitória,Filipe Soares,Alexandre Miguel Barros Soares,Pedro Nuno,Pedro Amador,Miguel Oliveira,Nahuel Ferraresi,David Tavares,Ibrahima Camará,Lucas,Matheus Silva,Yan Santos,Walterson,Leonardo César Jardim,Reggie Cannon,Adil Rami,Chidozie Awaziem,Javi García,Nuno Santos,Gustavo Sauer,Jorge Bengoché,Angel Gomes,Ricardo Mangas,Paulinho,Rafael Bracalli,Alejandro Gómez,Miguel Reisinho,Nathan,Show,Sebastián Pérez Cardona,Yanis Hamache,Tiago Fonseca Morais,,14,16,6,5,2.45,3.0,3.1,0,1
3.0,sex,2020-10-02,21:15,Guimaraes,1.1,1.0,Pacos Ferreira,0,Estádio Dom Afonso Henriques,Hélder Malheiro,/pt/partidas/7fbe4e0e/Vitoria-Guimaraes-Pacos-de-Ferreira-2020Outubro2-Primeira-Liga,1,0,4-3-3,4-3-3,11.0,28.0,2.0,7.0,10.0,25.0,639.0,553.0,14.0,13.0,6.0,13.0,20.0,9.0,3.0,3.0,11.0,11.0,80.0,63.0,4.0,0.0,0.0,2.0,0.0,0.0,Bruno Varela,Easah Suliman,Marcus Edwards,Bruno Duarte,Ricardo Quaresma,André André,Falaye Sacko,José Luis García Vayá,Mikel Agu,Sílvio,Jorge Filipe Oliveira Fernandes,Matouš Trmal,Abdul Mumin,Denis-Will Poha,Gideon Mensah,Rochinha,Lyle Foster,Domingos André Ribeiro Almeida,Noah Holm,Jordi Almeida,Marco Baixinho,Oleg Reabciuk,Bruno Xavier Almeida Costa,Luther Singh,Luíz Carlos,Lucas Silva,Fernando Ferreira Fonseca,Marcelo dos Santos Ferreira,Stephen Eustáquio,Douglas Tanque,Michael,Martín,Hélder Ferreira,Abbas Ibrahim,Zé Uilton,Adriano Castanheira,Pedro Martelo,Maracás,,8,16,1,7,1.7,3.6,5.0,0,0
3.0,sáb,2020-10-03,16:00,Santa Clara,1.0,0.3,Gil Vicente,873,Cidade do Futebol,Iancu Vasilica,/pt/partidas/0a94ab11/Santa-Clara-Gil-Vicente-FC-2020Outubro3-Primeira-Liga,0,0,5-4-1,5-4-1,14.0,18.0,8.0,3.0,20.0,10.0,522.0,501.0,23.0,16.0,10.0,17.0,14.0,28.0,1.0,0.0,7.0,12.0,101.0,90.0,1.0,0.0,0.0,3.0,0.0,0.0,Marco André Rocha Pereira,Rafael Ramos,Mikel Villanueva,João Afonso,Mansur,Osama Rashid,Carlos,Thiago Santana,Jean Patric,Anderson Carvalho,Diogo Salomão,André Ferreira,Fábio Cardoso,João Paulo Lázaro Lucas,Ukra,Julio Romão,Costinha,Rui Filipe Cunha Correia,Crysan,Denis,Joel Pereira,Rodrigão,João Afonso Crispim,Claude Gonçalves,Antoine Léautey,Rúben Fernandes,Leandrinho,Samuel,Talocha,Ygor Nogueira,Daniel Fuzato,Souleymane Aw,Lourency,Boubacar Hanne,Renan,Kanya Fujimoto,Vitor Carvalho,Lucas Mineiro,,12,8,3,1,2.2,3.0,3.6,0,0
3.0,sáb,2020-10-03,18:30,Porto,2.5,1.2,Maritimo,0,Estádio Do Dragão,Rui Costa,/pt/partidas/6f173754/Porto-Maritimo-2020Outubro3-Primeira-Liga,2,3,4-3-3,5-4-1,19.0,16.0,9.0,0.0,34.0,6.0,791.0,348.0,13.0,19.0,4.0,19.0,5.0,39.0,3.0,2.0,8.0,17.0,52.0,73.0,2.0,0.0,0.0,4.0,0.0,0.0,Diogo Costa,Pepe,Luis Díaz,Moussa Marega,Alex Telles,Jesús Corona,Wilson Manafá,Chancel Mbemba,Danilo Pereira,Otávio,Sérgio Oliveira,Cláudio Ramos,Diogo Leite,Mateus Uribe,Mehdi Taremi,Zaidu Sanusi,Zé Luís,Romário Baró,João Mário Lopes,Amir Abedzadeh,Cláudio Winck,Lucas Áfrico,Zainadine Júnior,Jean,Jorge Correa,Rodrigo Pinho,Getterson,Rene Santos,Eulânio Ângelo Chipela Gomes,Marcelo Hermes,Charles,Edgar Costa,Dejan Kerkez,Jean Cléber,Milson,Franck-Yves Bambock,Jefferson,Pedro Pelágio,,32,11,10,4,1.16,7.0,15.0,1,1
3.0,sáb,2020-10-03,21:00,Tondela,1.2,2.2,Sp Braga,0,Estádio João Cardoso,Nuno Almeida,/pt/partidas/1478bc84/Tondela-Braga-2020Outubro3-Primeira-Liga,0,4,4-1-4-1,4-4-2,12.0,15.0,5.0,8.0,18.0,17.0,560.0,599.0,8.0,15.0,11.0,13.0,10.0,17.0,0.0,2.0,10.0,8.0,69.0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,Babacar Niasse,Bebeto,Pedro Borges,Salvador Agra,João Pedro,Jhon Murillo,Tomislav Štrkalj,Jaume Grau,Filipe Ferreira,Yohan Tavares,Ricardo Miguel Martins Alves,Pedro Trigueira,João Jaquité,Rúben Fonseca,João Mendes,Enzo Martínez,Naoufel Khacef,Abdel Jalil Medioub,Souleymane Anne,Matheus,Nuno Sequeira,David Carmo,Paulinho,Ricardo Horta,Fransérgio,Bruno Viana,Iuri Medeiros,Ricardo Esgaio,André Castro,Galeno,Tiago Sá,Vítor Tormena,João Novais,Almoatasem Al Musrati,Abel Ruiz,André Horta,Rodrigo Gomes,Moura,,13,18,4,8,6.0,4.2,1.55,0,4
